"no.","name","census 2001","census 2006","calculation 2010","annualgrowth","latitude","longitude","parent division","name variants","metropolitan area"
664,"Sainte-Anne-de-Madawaska","1 168","1 073","1 001",-1.72,"47.25°N","68.03°W","New Brunswick"," "," "
665,"Sainte-Anne-des-Monts","4 372","4 501","4 591",0.5,"49.12°N","66.48°W","Quebec"," "," "
666,"Sainte-Anne-des-Plaines","9 885","10 179","10 384",0.5,"45.78°N","73.82°W","Quebec"," ","Montréal"
667,"Sainte-Claire","2 358","2 015","1 820",-2.51,"46.60°N","70.85°W","Quebec"," "," "
668,"Sainte-Croix","1 533","1 633","1 710",1.16,"","","Quebec"," "," "
669,"Sainte-Julienne","1 670","1 607","1 555",-0.82,"45.97°N","73.72°W","Quebec"," "," "
670,"Sainte-Justine","1 130","1 090","1 057",-0.77,"46.41°N","70.34°W","Quebec"," "," "
671,"Sainte-Madeleine","2 162","2 346","2 493",1.53,"46.60°N","73.10°W","Quebec"," "," "
672,"Sainte-Marie","8 047","8 612","9 053",1.26,"46.43°N","71.02°W","Quebec"," "," "
673,"Sainte-Martine","2 504","3 023","3 491",3.66,"45.23°N","73.80°W","Quebec"," ","Montréal"
